epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3493.91,0.86705,0.64959,1.0859,0.92755,0.87602,0.94659,0.70476,1.00017,0.57975,1.22019,0.00192022,0.00192022,0.00192022
79,3536.76,0.8702,0.6476,1.08236,0.94235,0.88821,0.94429,0.7026,0.97988,0.57905,1.20636,0.00191817,0.00191817,0.00191817
80,3579.3,0.873,0.64937,1.08929,0.92877,0.91057,0.94488,0.69956,0.9655,0.57701,1.22201,0.00191608,0.00191608,0.00191608
81,3626.55,0.87888,0.65751,1.09395,0.9179,0.92073,0.95084,0.70556,0.978,0.55665,1.21468,0.00191398,0.00191398,0.00191398
82,3671.76,0.88073,0.6527,1.08476,0.94739,0.86789,0.94765,0.70741,0.96,0.5666,1.2114,0.00191185,0.00191185,0.00191185
83,3717.52,0.85898,0.63143,1.08073,0.92387,0.91667,0.94917,0.71158,0.96165,0.58523,1.1918,0.00190969,0.00190969,0.00190969
84,3761.74,0.87735,0.64062,1.09093,0.93928,0.89431,0.94313,0.70842,0.98861,0.57167,1.23704,0.00190751,0.00190751,0.00190751
85,3805.29,0.85812,0.62878,1.08256,0.93048,0.88821,0.94173,0.70712,0.94367,0.5743,1.19613,0.0019053,0.0019053,0.0019053
86,3849.86,0.87168,0.64608,1.08207,0.91597,0.9065,0.94228,0.70509,0.94899,0.57564,1.18175,0.00190307,0.00190307,0.00190307
87,3895.08,0.85538,0.63275,1.07451,0.91306,0.90854,0.94762,0.7153,0.94925,0.57021,1.18092,0.00190082,0.00190082,0.00190082
88,3938.72,0.85382,0.62542,1.07983,0.93049,0.88821,0.93882,0.71846,0.94148,0.56169,1.19551,0.00189854,0.00189854,0.00189854
89,3981.92,0.85506,0.63057,1.07759,0.90425,0.9187,0.94005,0.7145,0.93713,0.58397,1.20895,0.00189623,0.00189623,0.00189623
90,4024.6,0.8622,0.61651,1.07679,0.94395,0.89005,0.94642,0.71767,0.93749,0.53745,1.20469,0.0018939,0.0018939,0.0018939
91,4066.78,0.84871,0.61737,1.07444,0.92066,0.91667,0.9478,0.72035,0.91754,0.53425,1.16248,0.00189155,0.00189155,0.00189155
92,4111.67,0.8532,0.62263,1.07461,0.94659,0.90056,0.95222,0.72104,0.93176,0.54774,1.18507,0.00188917,0.00188917,0.00188917
93,4158.51,0.85563,0.61563,1.07289,0.94069,0.90264,0.94421,0.71406,0.93662,0.53574,1.18278,0.00188677,0.00188677,0.00188677
94,4204.38,0.83943,0.61648,1.07159,0.92124,0.9126,0.94162,0.7178,0.92031,0.52203,1.17754,0.00188435,0.00188435,0.00188435
95,4251.53,0.86094,0.6283,1.07746,0.92889,0.90854,0.94868,0.72474,0.90898,0.52456,1.14473,0.0018819,0.0018819,0.0018819
96,4299.05,0.84608,0.61935,1.07451,0.90295,0.9266,0.95149,0.72031,0.92953,0.54987,1.16502,0.00187942,0.00187942,0.00187942
97,4346,0.83509,0.60168,1.06338,0.92006,0.90041,0.94683,0.71498,0.95328,0.5693,1.19909,0.00187693,0.00187693,0.00187693
98,4392.31,0.84884,0.61013,1.07643,0.91969,0.9065,0.95153,0.72503,0.92518,0.5716,1.16622,0.0018744,0.0018744,0.0018744
99,4438.73,0.83284,0.60057,1.06357,0.90731,0.91521,0.94991,0.7246,0.91473,0.56453,1.17221,0.00187186,0.00187186,0.00187186
100,4484.96,0.84521,0.61431,1.07171,0.91971,0.90795,0.94678,0.72048,0.92342,0.55576,1.18459,0.00186929,0.00186929,0.00186929
101,4531.54,0.8443,0.61317,1.07277,0.92883,0.90041,0.95212,0.72103,0.94394,0.55689,1.19639,0.0018667,0.0018667,0.0018667
102,4578.07,0.8358,0.60187,1.06939,0.92503,0.91463,0.95197,0.72532,0.93156,0.58341,1.18883,0.00186408,0.00186408,0.00186408
103,4624.69,0.84083,0.60311,1.06192,0.92869,0.91463,0.95267,0.72152,0.93306,0.59113,1.1865,0.00186144,0.00186144,0.00186144
104,4668.03,0.83508,0.59973,1.06831,0.91323,0.9126,0.95314,0.72661,0.93365,0.54542,1.19622,0.00185877,0.00185877,0.00185877
105,4710.59,0.84105,0.6053,1.06834,0.91081,0.91331,0.94744,0.72722,0.93702,0.5582,1.20787,0.00185609,0.00185609,0.00185609
106,4753.48,0.83029,0.59586,1.06155,0.92911,0.90577,0.95067,0.72992,0.92848,0.54541,1.19773,0.00185338,0.00185338,0.00185338
